"Name","State","Notes","User","Tags","Created","Runtime","Sweep","add_column","LG_NRMSE_BEST","LG_NRMSE_MEAN","Y_01_NRMSE","Y_02_NRMSE","Y_03_NRMSE","Y_04_NRMSE","Y_05_NRMSE","Y_06_NRMSE","Y_07_NRMSE","Y_08_NRMSE","Y_09_NRMSE","Y_10_NRMSE","Y_11_NRMSE","Y_12_NRMSE","Y_13_NRMSE","Y_14_NRMSE"
"quiet-sweep-12","finished","-","zbooster","","2022-08-16T03:15:13.000Z","114","1537riwk","X_14","1.9349714349559013","1.9502214238047149","0.2561768679072979","0.35663270128047075","0.34943790982630946","0.18905583503358273","0.07912716445454113","0.10324188508987242","0.12897834782163617","0.02387932108049643","0.023692648375268105","0.03806702594721425","0.03319648098430328","0.023831321289436495","0.023781802619095415","0.023816105596348947"
"major-sweep-30","finished","-","zbooster","","2022-08-16T03:51:09.000Z","125","1537riwk","X_30","1.93585682676484","1.9503656962673532","0.25623360699898157","0.3567428956897466","0.34950685429851747","0.1890677427375836","0.07917520374880664","0.10340157484442387","0.12900960989664295","0.023799243231405903","0.023608178584971252","0.038083855019720815","0.033158571682065645","0.023747504368738924","0.02370196843302995","0.023741540443496224"
"vital-sweep-27","finished","-","zbooster","","2022-08-16T03:44:58.000Z","120","1537riwk","X_32","1.936377210688328","1.9505501898477664","0.2562954567383293","0.35670274521667233","0.34951933632903376","0.189060546814192","0.07921702126206806","0.10345457511530828","0.12903856064005187","0.023796430087141895","0.02360954717159835","0.038083611530156374","0.03316879346440005","0.023748301924525712","0.02369916185092172","0.023739167262806792"
"legendary-sweep-26","finished","-","zbooster","","2022-08-16T03:43:02.000Z","114","1537riwk","X_15","1.9354452121684504","1.9506606701991136","0.2561851750799002","0.35669783979863107","0.3495170232094597","0.1891056940816169","0.07917294084211936","0.10319829909146187","0.1290517421216883","0.02389256416648527","0.023704326160423134","0.0380957088174797","0.03320727186692298","0.023842454951034785","0.023794091900576134","0.023831282433041456"
"smooth-sweep-15","finished","-","zbooster","","2022-08-16T03:21:25.000Z","114","1537riwk","X_18","1.9362366477708128","1.9510421903189616","0.25618440349058735","0.35670997267253685","0.3494797802592416","0.18913560159289175","0.07915690566192193","0.10353171227427412","0.1290666161144125","0.023890363588458783","0.023701725923615916","0.038095455038133254","0.0332014235433823","0.02384082013379014","0.023790598904390444","0.023825739990460105"
"fast-sweep-8","finished","-","zbooster","","2022-08-16T03:07:12.000Z","117","1537riwk","X_13","1.9368555125623883","1.9512409205490933","0.2562254016000051","0.356661938382107","0.3494275613958073","0.18907116370352375","0.07914859191427001","0.10385000740736272","0.12897458527253716","0.023897341634808233","0.023706675985378567","0.03815130129524762","0.03320908971026006","0.023844188193633015","0.02379378232959405","0.023827973462474783"
"gentle-sweep-19","finished","-","zbooster","","2022-08-16T03:29:22.000Z","114","1537riwk","X_41","1.9373694875691896","1.9518324319133376","0.2563220552389279","0.3568601475324633","0.34961233981891005","0.1892285883337928","0.07922716286266758","0.10345666839486424","0.1291603560085542","0.02389104280471744","0.023701497155584898","0.03813862048430006","0.03322402950251184","0.023839747572131063","0.023791833515752793","0.023826670489180017"
"warm-sweep-11","finished","-","zbooster","","2022-08-16T03:13:13.000Z","114","1537riwk","X_43","1.9364290061589875","1.9518909766062804","0.2562227359455112","0.35669530961157786","0.34950283262299386","0.18935950435947924","0.07925105019176601","0.10366858103059216","0.12917021986867191","0.023896462167083764","0.023707284411903163","0.03815880406759873","0.033227599340334354","0.02384663356042293","0.02379770058351351","0.02383291968529686"
"peachy-sweep-18","finished","-","zbooster","","2022-08-16T03:27:26.000Z","113","1537riwk","X_46","1.9364337470911437","1.952008420186963","0.2562389321679321","0.35681500143877826","0.34953781803716916","0.1893047219181632","0.07924789023977673","0.10367354570040428","0.12916925148747488","0.023895737999639628","0.023705155876401957","0.038148605842583214","0.03322157041618196","0.023845953228205072","0.02379608567941745","0.023831570356967504"
"glorious-sweep-24","finished","-","zbooster","","2022-08-16T03:39:08.000Z","113","1537riwk","X_01","1.9369816281489016","1.952081359855627","0.25630704725159803","0.35686993758837104","0.3496579678852024","0.1891419503813155","0.0791897415761393","0.10378289254210649","0.12914636886552472","0.023886026954844052","0.023696994738278444","0.03814529397733718","0.033214619516492225","0.02383578113097168","0.02378733620740814","0.023823014631017565"
